region;casos_nuevos;casos_totales;casos_recuperados;fecha
Arica y Parinacota; 0;  1;0;2020-03-20
Tarapacá; 0;  0;0;2020-03-20
Antofagasta; 4;  6;0;2020-03-20
Atacama; 0;  1;0;2020-03-20
Coquimbo; 1;  3;0;2020-03-20
Valparaíso; 1;  5;0;2020-03-20
Metropolitana;57;304;0;2020-03-20
O’Higgins; 4;  6;0;2020-03-20
Maule; 0; 14;0;2020-03-20
Ñuble;16; 44;0;2020-03-20
Biobío; 5; 19;0;2020-03-20
Araucanía; 2;  9;0;2020-03-20
Los Ríos; 0;  1;0;2020-03-20
Los Lagos; 2; 18;0;2020-03-20
Aysén; 0;  1;0;2020-03-20
Magallanes; 0;  2;0;2020-03-20
Total;92;434;0;2020-03-20
